1,이진재,1,1,1
2,이명길,1,1,2
3,정길진,1,1,3
4,김진현,1,1,4
5,김명진,1,1,5
6,이수수,1,1,6
7,최석석,1,1,7
8,이재동,1,1,8
9,정진석,1,1,9
10,이수재,1,1,10
11,정진수,1,2,1
12,김현명,1,2,2
13,김석진,1,2,3
14,이수재,1,2,4
15,정길재,1,2,5
16,정재진,1,2,6
17,김재석,1,2,7
18,정동진,1,2,8
19,정진길,1,2,9
20,김동현,1,2,10
21,최재수,1,3,1
22,최길수,1,3,2
23,최수현,1,3,3
24,최길재,1,3,4
25,최현재,1,3,5
26,박석현,1,3,6
27,박현동,1,3,7
28,정명석,1,3,8
29,김수길,1,3,9
30,정석재,1,3,10
31,이현동,1,4,1
32,이현수,1,4,2
33,정수현,1,4,3
34,이진석,1,4,4
35,정재재,1,4,5
36,박현재,1,4,6
37,박동동,1,4,7
38,정현동,1,4,8
39,박석동,1,4,9
40,최현동,1,4,10
41,김진재,1,5,1
42,최진석,1,5,2
43,김재동,1,5,3
44,이석재,1,5,4
45,이수명,1,5,5
46,최현명,1,5,6
47,김석현,1,5,7
48,김수석,1,5,8
49,정진길,1,5,9
50,정명진,1,5,10
51,이명동,2,1,1
52,박재길,2,1,2
53,이현길,2,1,3
54,정수현,2,1,4
55,이수진,2,1,5
56,김진명,2,1,6
57,최현수,2,1,7
58,최현동,2,1,8
59,이재현,2,1,9
60,정동수,2,1,10
61,박수재,2,2,1
62,정수수,2,2,2
63,이길동,2,2,3
64,박현석,2,2,4
65,정현진,2,2,5
66,이동현,2,2,6
67,최재동,2,2,7
68,박동수,2,2,8
69,최현동,2,2,9
70,최명진,2,2,10
71,이재현,2,3,1
72,박동길,2,3,2
73,김동석,2,3,3
74,김재재,2,3,4
75,정석동,2,3,5
76,최진동,2,3,6
77,김진수,2,3,7
78,최동명,2,3,8
79,정길현,2,3,9
80,정재진,2,3,10
81,박명수,2,4,1
82,최석재,2,4,2
83,최현현,2,4,3
84,김동동,2,4,4
85,최수명,2,4,5
86,최길현,2,4,6
87,김진길,2,4,7
88,정동동,2,4,8
89,정수재,2,4,9
90,정동길,2,4,10
91,김현진,2,5,1
92,최현명,2,5,2
93,이길재,2,5,3
94,박석길,2,5,4
95,김명석,2,5,5
96,이재길,2,5,6
97,정진석,2,5,7
98,정재재,2,5,8
99,김진재,2,5,9
100,정수동,2,5,10
101,김명명,3,1,1
102,정진진,3,1,2
103,정재재,3,1,3
104,김석동,3,1,4
105,최진진,3,1,5
106,정석진,3,1,6
107,김현길,3,1,7
108,최현진,3,1,8
109,이현진,3,1,9
110,최현진,3,1,10
111,김재수,3,2,1
112,이진길,3,2,2
113,박진수,3,2,3
114,최재재,3,2,4
115,이진진,3,2,5
116,이재현,3,2,6
117,김명현,3,2,7
118,정현동,3,2,8
119,이길명,3,2,9
120,이현수,3,2,10
121,최동수,3,3,1
122,최동길,3,3,2
123,김재석,3,3,3
124,정석현,3,3,4
125,최현길,3,3,5
126,김동동,3,3,6
127,정동수,3,3,7
128,김진수,3,3,8
129,최진길,3,3,9
130,박수수,3,3,10
131,최길수,3,4,1
132,이현길,3,4,2
133,박수재,3,4,3
134,최석수,3,4,4
135,이현진,3,4,5
136,이동석,3,4,6
137,정길진,3,4,7
138,이동진,3,4,8
139,정현동,3,4,9
140,박동수,3,4,10
141,최석석,3,5,1
142,정재현,3,5,2
143,김동동,3,5,3
144,김진동,3,5,4
145,박명석,3,5,5
146,이석길,3,5,6
147,김석길,3,5,7
148,박수석,3,5,8
149,이재진,3,5,9
150,최동재,3,5,10
